date,enso,year,month
1979-01-01,0.47,1979,1
1979-02-01,0.29,1979,2
1979-03-01,-0.05,1979,3
1979-04-01,0.21,1979,4
1979-05-01,0.27,1979,5
1979-06-01,-0.11,1979,6
1979-07-01,-0.11,1979,7
1979-08-01,0.47,1979,8
1979-09-01,0.38,1979,9
1979-10-01,0.23,1979,10
1979-11-01,0.53,1979,11
1979-12-01,0.63,1979,12
1980-01-01,0.33,1980,1
1980-02-01,0.2,1980,2
1980-03-01,0.39,1980,3
1980-04-01,0.51,1980,4
1980-05-01,0.45,1980,5
1980-06-01,0.55,1980,6
1980-07-01,0.47,1980,7
1980-08-01,0.03,1980,8
1980-09-01,0.12,1980,9
1980-10-01,0.02,1980,10
1980-11-01,-0.07,1980,11
1980-12-01,-0.12,1980,12
1981-01-01,-0.36,1981,1
1981-02-01,-0.23,1981,2
1981-03-01,0.33,1981,3
1981-04-01,0.43,1981,4
1981-05-01,-0.24,1981,5
1981-06-01,-0.7,1981,6
1981-07-01,-0.61,1981,7
1981-08-01,-0.34,1981,8
1981-09-01,-0.07,1981,9
1981-10-01,-0.16,1981,10
1981-11-01,-0.27,1981,11
1981-12-01,-0.19,1981,12
1982-01-01,-0.43,1982,1
1982-02-01,-0.49,1982,2
1982-03-01,-0.27,1982,3
1982-04-01,-0.36,1982,4
1982-05-01,-0.12,1982,5
1982-06-01,0.62,1982,6
1982-07-01,1.65,1982,7
1982-08-01,1.91,1982,8
1982-09-01,1.69,1982,9
1982-10-01,1.78,1982,10
1982-11-01,2.14,1982,11
1982-12-01,2.37,1982,12
1983-01-01,2.48,1983,1
1983-02-01,2.68,1983,2
1983-03-01,2.61,1983,3
1983-04-01,2.76,1983,4
1983-05-01,2.86,1983,5
1983-06-01,1.98,1983,6
1983-07-01,0.63,1983,7
1983-08-01,-0.17,1983,8
1983-09-01,-0.49,1983,9
1983-10-01,-0.53,1983,10
1983-11-01,-0.47,1983,11
1983-12-01,-0.5,1983,12
1984-01-01,-0.54,1984,1
1984-02-01,-0.56,1984,2
1984-03-01,-0.16,1984,3
1984-04-01,0.07,1984,4
1984-05-01,-0.45,1984,5
1984-06-01,-0.66,1984,6
1984-07-01,-0.34,1984,7
1984-08-01,-0.2,1984,8
1984-09-01,-0.14,1984,9
1984-10-01,-0.19,1984,10
1984-11-01,-0.58,1984,11
1984-12-01,-0.28,1984,12
1985-01-01,-0.25,1985,1
1985-02-01,-0.58,1985,2
1985-03-01,-0.6,1985,3
1985-04-01,-0.76,1985,4
1985-05-01,-1.23,1985,5
1985-06-01,-0.67,1985,6
1985-07-01,-0.1,1985,7
1985-08-01,-0.49,1985,8
1985-09-01,-0.56,1985,9
1985-10-01,-0.08,1985,10
1985-11-01,-0.06,1985,11
1985-12-01,-0.42,1985,12
1986-01-01,-0.4,1986,1
1986-02-01,-0.34,1986,2
1986-03-01,-0.4,1986,3
1986-04-01,-0.53,1986,4
1986-05-01,-0.26,1986,5
1986-06-01,0.01,1986,6
1986-07-01,0.41,1986,7
1986-08-01,0.97,1986,8
1986-09-01,1.29,1986,9
1986-10-01,0.56,1986,10
1986-11-01,0.64,1986,11
1986-12-01,1.06,1986,12
1987-01-01,1.03,1987,1
1987-02-01,1.16,1987,2
1987-03-01,1.57,1987,3
1987-04-01,1.74,1987,4
1987-05-01,1.96,1987,5
1987-06-01,2.07,1987,6
1987-07-01,1.88,1987,7
1987-08-01,1.46,1987,8
1987-09-01,1.26,1987,9
1987-10-01,1.18,1987,10
1987-11-01,0.9,1987,11
1987-12-01,0.79,1987,12
1988-01-01,0.63,1988,1
1988-02-01,0.33,1988,2
1988-03-01,0.17,1988,3
1988-04-01,-0.01,1988,4
1988-05-01,-0.39,1988,5
1988-06-01,-1.17,1988,6
1988-07-01,-1.78,1988,7
1988-08-01,-1.81,1988,8
1988-09-01,-1.8,1988,9
1988-10-01,-1.59,1988,10
1988-11-01,-1.7,1988,11
1988-12-01,-1.55,1988,12
1989-01-01,-1.12,1989,1
1989-02-01,-1.1,1989,2
1989-03-01,-1.24,1989,3
1989-04-01,-1.09,1989,4
1989-05-01,-1.03,1989,5
1989-06-01,-0.99,1989,6
1989-07-01,-1.08,1989,7
1989-08-01,-0.66,1989,8
1989-09-01,-0.53,1989,9
1989-10-01,-0.49,1989,10
1989-11-01,-0.36,1989,11
1989-12-01,-0.07,1989,12
1990-01-01,0.13,1990,1
1990-02-01,0.45,1990,2
1990-03-01,0.61,1990,3
1990-04-01,0.17,1990,4
1990-05-01,0.08,1990,5
1990-06-01,0.05,1990,6
1990-07-01,0.13,1990,7
1990-08-01,0.02,1990,8
1990-09-01,0.22,1990,9
1990-10-01,-0.07,1990,10
1990-11-01,0.12,1990,11
1990-12-01,0.31,1990,12
1991-01-01,0.19,1991,1
1991-02-01,0.08,1991,2
1991-03-01,0.2,1991,3
1991-04-01,0.2,1991,4
1991-05-01,0.35,1991,5
1991-06-01,0.97,1991,6
1991-07-01,0.91,1991,7
1991-08-01,0.37,1991,8
1991-09-01,0.54,1991,9
1991-10-01,0.97,1991,10
1991-11-01,1.04,1991,11
1991-12-01,1.23,1991,12
1992-01-01,1.68,1992,1
1992-02-01,1.58,1992,2
1992-03-01,1.71,1992,3
1992-04-01,1.97,1992,4
1992-05-01,1.68,1992,5
1992-06-01,1.51,1992,6
1992-07-01,0.62,1992,7
1992-08-01,-0.02,1992,8
1992-09-01,0.4,1992,9
1992-10-01,0.67,1992,10
1992-11-01,0.62,1992,11
1992-12-01,0.73,1992,12
1993-01-01,0.79,1993,1
1993-02-01,0.89,1993,2
1993-03-01,0.77,1993,3
1993-04-01,0.98,1993,4
1993-05-01,1.47,1993,5
1993-06-01,1.51,1993,6
1993-07-01,0.9,1993,7
1993-08-01,0.6,1993,8
1993-09-01,0.61,1993,9
1993-10-01,0.96,1993,10
1993-11-01,0.7,1993,11
1993-12-01,0.27,1993,12
1994-01-01,-0.01,1994,1
1994-02-01,-0.21,1994,2
1994-03-01,-0.23,1994,3
1994-04-01,0.01,1994,4
1994-05-01,-0.03,1994,5
1994-06-01,0.25,1994,6
1994-07-01,0.96,1994,7
1994-08-01,0.87,1994,8
1994-09-01,1.1,1994,9
1994-10-01,1.52,1994,10
1994-11-01,1.01,1994,11
1994-12-01,0.91,1994,12
1995-01-01,0.82,1995,1
1995-02-01,0.54,1995,2
1995-03-01,0.17,1995,3
1995-04-01,0.13,1995,4
1995-05-01,0.14,1995,5
1995-06-01,0.01,1995,6
1995-07-01,-0.29,1995,7
1995-08-01,-0.7,1995,8
1995-09-01,-0.94,1995,9
1995-10-01,-0.74,1995,10
1995-11-01,-0.77,1995,11
1995-12-01,-0.9,1995,12
1996-01-01,-0.85,1996,1
1996-02-01,-0.8,1996,2
1996-03-01,-0.66,1996,3
1996-04-01,-0.76,1996,4
1996-05-01,-0.85,1996,5
1996-06-01,-0.91,1996,6
1996-07-01,-0.83,1996,7
1996-08-01,-0.64,1996,8
1996-09-01,-0.31,1996,9
1996-10-01,-0.37,1996,10
1996-11-01,-0.34,1996,11
1996-12-01,-0.47,1996,12
1997-01-01,-0.65,1997,1
1997-02-01,-0.72,1997,2
1997-03-01,-0.3,1997,3
1997-04-01,0.15,1997,4
1997-05-01,0.71,1997,5
1997-06-01,2.34,1997,6
1997-07-01,2.26,1997,7
1997-08-01,2.26,1997,8
1997-09-01,2.2,1997,9
1997-10-01,2.06,1997,10
1997-11-01,2.14,1997,11
1997-12-01,2.11,1997,12
1998-01-01,2.3,1998,1
1998-02-01,2.45,1998,2
1998-03-01,2.27,1998,3
1998-04-01,2.61,1998,4
1998-05-01,2.33,1998,5
1998-06-01,0.42,1998,6
1998-07-01,-1.53,1998,7
1998-08-01,-1.82,1998,8
1998-09-01,-1.4,1998,9
1998-10-01,-1.29,1998,10
1998-11-01,-1.34,1998,11
1998-12-01,-1.29,1998,12
1999-01-01,-1.28,1999,1
1999-02-01,-1.2,1999,2
1999-03-01,-1.15,1999,3
1999-04-01,-1.16,1999,4
1999-05-01,-1.33,1999,5
1999-06-01,-1.26,1999,6
1999-07-01,-1.18,1999,7
1999-08-01,-1.03,1999,8
1999-09-01,-1.16,1999,9
1999-10-01,-1.33,1999,10
1999-11-01,-1.33,1999,11
1999-12-01,-1.43,1999,12
2000-01-01,-1.25,2000,1
2000-02-01,-1.26,2000,2
2000-03-01,-1.37,2000,3
2000-04-01,-0.9,2000,4
2000-05-01,-0.93,2000,5
2000-06-01,-1.18,2000,6
2000-07-01,-0.61,2000,7
2000-08-01,-0.08,2000,8
2000-09-01,-0.35,2000,9
2000-10-01,-0.52,2000,10
2000-11-01,-0.86,2000,11
2000-12-01,-0.79,2000,12
2001-01-01,-0.83,2001,1
2001-02-01,-0.86,2001,2
2001-03-01,-0.78,2001,3
2001-04-01,-0.55,2001,4
2001-05-01,-0.51,2001,5
2001-06-01,-0.73,2001,6
2001-07-01,0.04,2001,7
2001-08-01,0.38,2001,8
2001-09-01,-0.06,2001,9
2001-10-01,-0.22,2001,10
2001-11-01,-0.28,2001,11
2001-12-01,0.06,2001,12
2002-01-01,0.09,2002,1
2002-02-01,-0.26,2002,2
2002-03-01,-0.2,2002,3
2002-04-01,-0.36,2002,4
2002-05-01,-0.14,2002,5
2002-06-01,0.34,2002,6
2002-07-01,0.44,2002,7
2002-08-01,1.01,2002,8
2002-09-01,0.88,2002,9
2002-10-01,0.84,2002,10
2002-11-01,0.84,2002,11
2002-12-01,0.91,2002,12
2003-01-01,0.82,2003,1
2003-02-01,0.63,2003,2
2003-03-01,0.53,2003,3
2003-04-01,-0.11,2003,4
2003-05-01,-0.61,2003,5
2003-06-01,-0.1,2003,6
2003-07-01,0.01,2003,7
2003-08-01,0.05,2003,8
2003-09-01,0.18,2003,9
2003-10-01,0.28,2003,10
2003-11-01,0.3,2003,11
2003-12-01,0.14,2003,12
2004-01-01,0.19,2004,1
2004-02-01,-0.05,2004,2
2004-03-01,-0.43,2004,3
2004-04-01,-0.23,2004,4
2004-05-01,-0.46,2004,5
2004-06-01,-0.39,2004,6
2004-07-01,0.46,2004,7
2004-08-01,0.77,2004,8
2004-09-01,0.59,2004,9
2004-10-01,0.4,2004,10
2004-11-01,0.56,2004,11
2004-12-01,0.48,2004,12
2005-01-01,0.09,2005,1
2005-02-01,0.61,2005,2
2005-03-01,0.83,2005,3
2005-04-01,0.14,2005,4
2005-05-01,0.19,2005,5
2005-06-01,0.2,2005,6
2005-07-01,-0.0,2005,7
2005-08-01,0.01,2005,8
2005-09-01,-0.02,2005,9
2005-10-01,-0.66,2005,10
2005-11-01,-0.7,2005,11
2005-12-01,-0.7,2005,12
2006-01-01,-0.64,2006,1
2006-02-01,-0.48,2006,2
2006-03-01,-0.62,2006,3
2006-04-01,-0.84,2006,4
2006-05-01,-0.42,2006,5
2006-06-01,-0.18,2006,6
2006-07-01,0.21,2006,7
2006-08-01,0.59,2006,8
2006-09-01,0.65,2006,9
2006-10-01,0.77,2006,10
2006-11-01,1.0,2006,11
2006-12-01,0.64,2006,12
2007-01-01,0.64,2007,1
2007-02-01,0.39,2007,2
2007-03-01,-0.19,2007,3
2007-04-01,-0.32,2007,4
2007-05-01,-0.41,2007,5
2007-06-01,-0.83,2007,6
2007-07-01,-0.75,2007,7
2007-08-01,-0.9,2007,8
2007-09-01,-1.06,2007,9
2007-10-01,-1.13,2007,10
2007-11-01,-1.12,2007,11
2007-12-01,-1.19,2007,12
2008-01-01,-1.06,2008,1
2008-02-01,-1.27,2008,2
2008-03-01,-1.52,2008,3
2008-04-01,-1.11,2008,4
2008-05-01,-0.99,2008,5
2008-06-01,-0.8,2008,6
2008-07-01,-0.78,2008,7
2008-08-01,-1.01,2008,8
2008-09-01,-1.02,2008,9
2008-10-01,-1.08,2008,10
2008-11-01,-0.98,2008,11
2008-12-01,-1.01,2008,12
2009-01-01,-1.01,2009,1
2009-02-01,-0.85,2009,2
2009-03-01,-0.95,2009,3
2009-04-01,-0.81,2009,4
2009-05-01,-0.72,2009,5
2009-06-01,-0.05,2009,6
2009-07-01,0.56,2009,7
2009-08-01,0.56,2009,8
2009-09-01,0.42,2009,9
2009-10-01,0.56,2009,10
2009-11-01,1.04,2009,11
2009-12-01,0.95,2009,12
2010-01-01,0.93,2010,1
2010-02-01,1.28,2010,2
2010-03-01,1.33,2010,3
2010-04-01,0.49,2010,4
2010-05-01,-0.12,2010,5
2010-06-01,-1.29,2010,6
2010-07-01,-2.43,2010,7
2010-08-01,-2.38,2010,8
2010-09-01,-2.26,2010,9
2010-10-01,-2.16,2010,10
2010-11-01,-2.01,2010,11
2010-12-01,-1.86,2010,12
2011-01-01,-1.77,2011,1
2011-02-01,-1.59,2011,2
2011-03-01,-1.75,2011,3
2011-04-01,-1.69,2011,4
2011-05-01,-1.23,2011,5
2011-06-01,-1.02,2011,6
2011-07-01,-0.75,2011,7
2011-08-01,-0.81,2011,8
2011-09-01,-1.08,2011,9
2011-10-01,-1.3,2011,10
2011-11-01,-1.14,2011,11
2011-12-01,-1.18,2011,12
2012-01-01,-1.07,2012,1
2012-02-01,-0.68,2012,2
2012-03-01,-0.58,2012,3
2012-04-01,-0.38,2012,4
2012-05-01,-0.32,2012,5
2012-06-01,-0.28,2012,6
2012-07-01,0.34,2012,7
2012-08-01,-0.02,2012,8
2012-09-01,-0.29,2012,9
2012-10-01,-0.19,2012,10
2012-11-01,-0.03,2012,11
2012-12-01,-0.03,2012,12
2013-01-01,-0.06,2013,1
2013-02-01,-0.08,2013,2
2013-03-01,-0.12,2013,3
2013-04-01,-0.35,2013,4
2013-05-01,-0.68,2013,5
2013-06-01,-1.14,2013,6
2013-07-01,-0.79,2013,7
2013-08-01,-0.45,2013,8
2013-09-01,-0.33,2013,9
2013-10-01,-0.13,2013,10
2013-11-01,-0.16,2013,11
2013-12-01,-0.34,2013,12
2014-01-01,-0.5,2014,1
2014-02-01,-0.42,2014,2
2014-03-01,-0.05,2014,3
2014-04-01,-0.16,2014,4
2014-05-01,-0.17,2014,5
2014-06-01,0.0,2014,6
2014-07-01,0.42,2014,7
2014-08-01,0.23,2014,8
2014-09-01,-0.09,2014,9
2014-10-01,0.12,2014,10
2014-11-01,0.37,2014,11
2014-12-01,0.35,2014,12
2015-01-01,0.23,2015,1
2015-02-01,0.06,2015,2
2015-03-01,0.15,2015,3
2015-04-01,0.31,2015,4
2015-05-01,0.95,2015,5
2015-06-01,1.9,2015,6
2015-07-01,1.79,2015,7
2015-08-01,1.95,2015,8
2015-09-01,2.24,2015,9
2015-10-01,2.15,2015,10
2015-11-01,1.94,2015,11
2015-12-01,1.93,2015,12
2016-01-01,1.94,2016,1
2016-02-01,1.81,2016,2
2016-03-01,1.32,2016,3
2016-04-01,1.33,2016,4
2016-05-01,1.24,2016,5
2016-06-01,0.36,2016,6
2016-07-01,-0.53,2016,7
2016-08-01,-0.27,2016,8
2016-09-01,-0.29,2016,9
2016-10-01,-0.54,2016,10
2016-11-01,-0.48,2016,11
2016-12-01,-0.37,2016,12
2017-01-01,-0.43,2017,1
2017-02-01,-0.42,2017,2
2017-03-01,-0.58,2017,3
2017-04-01,-0.19,2017,4
2017-05-01,0.19,2017,5
2017-06-01,-0.24,2017,6
2017-07-01,-0.63,2017,7
2017-08-01,-0.73,2017,8
2017-09-01,-0.74,2017,9
2017-10-01,-0.59,2017,10
2017-11-01,-0.62,2017,11
2017-12-01,-0.74,2017,12
2018-01-01,-0.79,2018,1
2018-02-01,-0.71,2018,2
2018-03-01,-0.8,2018,3
2018-04-01,-1.32,2018,4
2018-05-01,-0.94,2018,5
2018-06-01,-0.52,2018,6
2018-07-01,-0.05,2018,7
2018-08-01,0.46,2018,8
2018-09-01,0.62,2018,9
2018-10-01,0.52,2018,10
2018-11-01,0.33,2018,11
2018-12-01,0.18,2018,12
2019-01-01,0.09,2019,1
2019-02-01,0.5,2019,2
2019-03-01,0.76,2019,3
2019-04-01,0.3,2019,4
2019-05-01,0.23,2019,5
2019-06-01,0.35,2019,6
2019-07-01,0.3,2019,7
2019-08-01,0.32,2019,8
2019-09-01,0.16,2019,9
2019-10-01,0.31,2019,10
2019-11-01,0.47,2019,11
2019-12-01,0.36,2019,12
2020-01-01,0.25,2020,1
2020-02-01,0.26,2020,2
2020-03-01,0.13,2020,3
2020-04-01,-0.15,2020,4
2020-05-01,-0.23,2020,5
2020-06-01,-0.68,2020,6
2020-07-01,-0.94,2020,7
2020-08-01,-0.96,2020,8
2020-09-01,-1.15,2020,9
2020-10-01,-1.17,2020,10
2020-11-01,-1.13,2020,11
2020-12-01,-1.14,2020,12
2021-01-01,-1.2,2021,1
2021-02-01,-0.96,2021,2
2021-03-01,-0.79,2021,3
2021-04-01,-0.95,2021,4
2021-05-01,-1.07,2021,5
2021-06-01,-1.05,2021,6
2021-07-01,-1.44,2021,7
2021-08-01,-1.29,2021,8
2021-09-01,-1.38,2021,9
2021-10-01,-1.46,2021,10
2021-11-01,-1.39,2021,11
2021-12-01,-1.2,2021,12
2022-01-01,-1.01,2022,1
2022-02-01,-0.98,2022,2
2022-03-01,-1.31,2022,3
2022-04-01,-1.61,2022,4
2022-05-01,-1.63,2022,5
2022-06-01,-1.9,2022,6
2022-07-01,-2.17,2022,7
2022-08-01,-1.75,2022,8
2022-09-01,-1.73,2022,9
2022-10-01,-1.73,2022,10
2022-11-01,-1.53,2022,11
2022-12-01,-1.28,2022,12
2023-01-01,-1.11,2023,1
2023-02-01,-0.91,2023,2
2023-03-01,-0.76,2023,3
2023-04-01,-0.37,2023,4
2023-05-01,-0.06,2023,5
2023-06-01,0.43,2023,6
2023-07-01,0.5,2023,7
2023-08-01,0.51,2023,8
2023-09-01,0.68,2023,9
2023-10-01,0.48,2023,10
2023-11-01,0.91,2023,11
2023-12-01,1.13,2023,12
2024-01-01,0.7,2024,1
2024-02-01,0.68,2024,2
2024-03-01,0.78,2024,3
2024-04-01,0.34,2024,4
2024-05-01,0.12,2024,5
2024-06-01,-0.23,2024,6
2024-07-01,-0.72,2024,7
2024-08-01,-0.73,2024,8
2024-09-01,-0.65,2024,9
2024-10-01,-0.52,2024,10
2024-11-01,-0.68,2024,11
2024-12-01,-0.91,2024,12
2025-01-01,-1.0,2025,1
2025-02-01,-0.83,2025,2
2025-03-01,-0.68,2025,3
